run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl,extra_spread_ticks,gamma,k_vol,hold_time,hedge_fraction,gamma_inv_scale,gamma_vol_scale
639db423,-0.10952286472092965,-0.10153796560286467,-0.009391673828159903,0.05281206019045091,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.12,6,2.0,0.2,4,0
993e2743,-0.2867840063809126,-0.19511819832969027,-0.016938278781605535,0.1330520325846824,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.16,6,1.0,1.0,2,0
59a2fec3,-0.12817765438558126,-0.09861494962893624,-0.008053597295870142,0.0736080039427364,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.12,6,2.0,1.0,1,1
8dcb6127,-0.3196748829068383,-0.07547458229800216,-0.006596393728860787,0.0586954341479701,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,8,2.0,1.0,4,0
6fdfb64a,-0.14334344444614544,-0.06115449505139162,-0.005919766025035852,0.06583347429115863,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,8,2.0,1.0,2,1
64ba9034,-0.35592780091064924,-0.0975577415446844,-0.007896236432430304,0.060540063571135484,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.08,8,2.0,0.2,2,1
06a5bd30,-0.3801481156478985,-0.15227684861990293,-0.01573097139556735,0.09473697165860803,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.16,8,1.0,0.2,1,0
016a7c55,-0.17841476552712265,-0.07686557639217739,-0.006583391192175742,0.052886066125759267,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,4,2.0,0.2,4,0
f924eabb,-0.29121405566547764,-0.07369292259012158,-0.006454074578820632,0.056765069729714984,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,8,2.0,1.0,1,1
c02b9624,-0.24848768097399443,-0.07826201756374597,-0.007076445565350422,0.05522400760318335,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.16,6,2.0,1.0,2,0
3829facd,-0.24682421195029747,-0.18757951765613165,-0.016205355847014172,0.1331621345246909,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,4,1.0,0.2,1,0
4749f04d,-0.3695708151990402,-0.1593167918574955,-0.014094123085830043,0.1072759911409401,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.12,4,1.0,0.2,4,1
41973f50,-0.26325824802188436,-0.10693270369852584,-0.009551290874251652,0.07493081422649972,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,8,2.0,1.0,2,0
ad7bf91f,-0.32454083838638326,-0.07732351147319325,-0.007132561111384571,0.05772169749636461,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.16,6,2.0,0.2,4,1
76c4006e,-0.16953701245438424,-0.061729513570129846,-0.005949107863725968,0.04339744297722888,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.12,4,2.0,0.2,4,0
35bfefe9,-0.26097914587080595,-0.08939149107542535,-0.007061619041985719,0.036499114310620744,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.12,6,2.0,1.0,1,1
3fbbb6f6,-0.4435102307870693,-0.0940855770116098,-0.008373843299848232,0.07349792159794345,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.08,6,2.0,0.2,1,1
e50ac1f7,-0.42073686940238986,-0.15243213823576002,-0.014539040873573786,0.1000083936056346,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.12,8,1.0,0.2,2,0
51024917,-0.15363979859102983,-0.04738288429003096,-0.0035398122646342766,0.0421411949849976,0,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,4,2.0,0.2,2,1
f157cc43,-0.18863068206883327,-0.06768517392081964,-0.005643204640695364,0.04443674953858125,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.12,6,2.0,1.0,4,1
4c36c87b,-0.18146374956995714,-0.034278544921509606,-0.003390483451429011,0.017943743818439748,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,6,2.0,1.0,4,0
74958572,-0.17974906523886602,-0.06887843807313913,-0.006255888428309395,0.04604697537363068,0,5.0,0.5,0.005,0.3,2,0.05,0.6,32,0.16,4,2.0,0.2,2,1
843d1522,-0.2701223910207773,-0.1940511065866922,-0.017298246376784034,0.14135726838940912,0,5.0,0.5,0.005,0.3,2,0.05,0.6,24,0.16,4,1.0,0.2,2,1
b9e73bf2,-0.5368341615758254,-0.2455319199115612,-0.06684306077997772,0.18904966051632496,3,5.0,0.5,0.005,0.3,2,0.05,0.6,36,0.08,6,1.0,1.0,4,0
357b87e0,-0.2545716001004621,-0.06584286402026861,-0.005741858492601767,0.0543891011147214,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,6,2.0,0.2,4,1
981f3f0f,-0.28042733545953524,-0.06001859825974658,-0.0061993621727289795,0.040644831395511054,0,5.0,0.5,0.005,0.3,2,0.05,0.6,28,0.08,6,2.0,0.2,2,0
