run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,extra_spread_ticks,gamma,k_vol,hold_time,hedge_fraction
bebbf12b,-1.355398416526441,-2.054362986888939,-0.09412751611787618,0.6042475917396939,0,30,0.08,4,2.0,1.0
020d5d2a,-3.6086059681147162,-4.47890456496179,-0.2257106942201573,1.7909571119479435,0,26,0.2,4,1.0,0.025
88a4ae8d,-3.0509027351727127,-4.061892499088729,-0.1481590961371521,1.0007195932934796,0,30,0.08,6,1.5,1.0
e58c461c,-3.7117007171091245,-4.323736676683864,-0.23676642552241356,2.0299026631145285,0,26,0.2,4,1.0,0.025
6022f616,-3.5181175302041083,-4.863674128417281,-0.19186139528491686,1.517008263132771,0,34,0.12,8,1.0,1.0
c38dce36,-0.331055727590865,-1.6313888818465723,-0.06528473007271143,0.6017837239202262,0,34,0.08,4,2.0,1.0
8e7b7765,-4.203569957962827,-2.2736810332212958,-0.10421701163094638,0.784841790423326,0,30,0.12,4,1.5,1.0
28d45cb3,-4.407187271141083,-3.426611728711871,-0.19635809641942684,1.5465272373062215,0,30,0.12,8,1.0,1.0
2fa35901,-3.935456452654762,-4.35728342712078,-0.2295798038915637,1.9138604548766283,0,26,0.12,6,1.0,0.025
f92c7f9e,-3.0071280321808445,-2.4616490113644782,-0.12210778612906607,1.0920550834036717,0,34,0.16,6,1.5,0.025
4ee18ded,-0.8501068794867024,-1.2866801130025574,-0.08490680244955093,0.5821405713532262,0,34,0.12,8,2.0,0.025
f7baefdc,-2.219747885235847,-2.4827129310921614,-0.11015083068054243,0.6068996070878341,0,34,0.16,6,1.5,1.0
48847b1a,-2.2125225409654377,-2.6403914686031276,-0.1309996593797642,0.9143557590364038,0,38,0.16,8,1.5,1.0
f6036194,-2.4094846685438824,-3.009586422277649,-0.13240477975221923,0.9617633221351592,0,38,0.16,6,1.5,0.025
612d132d,-2.3056598237690196,-0.9912229306911281,-0.08723150078357883,0.7304967930847959,0,34,0.16,8,2.0,1.0
a089821a,-6.068497935963023,-3.221432868176322,-0.12702106051421783,1.0289258636291807,0,30,0.12,4,1.5,1.0
90e31c63,-2.4080853036739427,-1.257303601294558,-0.08577596524880894,0.7287049591646165,0,26,0.2,8,2.0,0.025
843f4f0d,-5.588419837245965,-2.5709404820923685,-0.13457594381495458,1.1174482097214513,0,34,0.08,4,1.5,0.025
ad97b513,-1.3605659795885003,-2.6933276277586717,-0.09658655190155527,0.5787475777476009,0,38,0.16,6,2.0,1.0
a548b7e7,-3.6199737279439432,-2.8434323882778703,-0.11467888440476055,0.94320957924824,0,34,0.16,8,1.5,1.0
cf0dbd79,-4.727139862867261,-4.210860124383078,-0.21964060029421653,1.5500528995433878,0,30,0.08,4,1.0,1.0
98026b0b,-4.798410067680379,-3.3544590655339914,-0.15634047604238954,1.352662220568503,0,34,0.12,8,1.0,1.0
6e16c88b,-3.2390707272006694,-4.298905976026894,-0.19528692834454203,1.6679004036324405,0,34,0.08,4,1.0,1.0
f89dd1f4,-2.713241676279722,-2.9558412765099935,-0.12685854727221849,0.9683329424802442,0,30,0.2,6,1.5,0.025
b1bc6a16,-3.9944345834119304,-2.5990888376245387,-0.11723990390432146,0.9266409153760163,0,26,0.12,6,1.5,1.0
7a1723bb,-2.7162694583730627,-3.654552351567108,-0.16985912316996662,1.5032199718628545,0,34,0.08,6,1.0,1.0
13a7aca9,-4.005757765135058,-2.120953502167238,-0.10113347892115145,0.7427210488658985,0,26,0.2,4,1.5,0.025
49a85ceb,-3.1810881260716997,-1.943864357327967,-0.11368059841878514,0.8445197093801998,0,30,0.08,4,1.5,0.025
3a704564,-4.263031588352533,-3.1214938363585594,-0.14188551891949794,1.0580165047525183,0,30,0.16,4,1.5,0.025
ef89982e,-4.984504863907205,-6.036497896954913,-0.22636607616197174,1.922091112104077,0,38,0.08,8,1.0,0.025
c323cb8c,-2.3800472328312026,-1.5823148002253493,-0.08918220243140651,0.6092832944705352,0,26,0.16,8,1.5,1.0
ef8b072a,-2.9605778381519485,-4.383658935940383,-0.1799880664747442,1.5868368582447567,0,26,0.16,6,1.0,1.0
c344f1e2,-4.576206868066947,-3.051299101611419,-0.16849851402083305,1.1227171841762413,0,34,0.12,8,1.0,1.0
83021b10,-4.05576879842738,-2.1434226076919525,-0.14121732735998796,0.7981168250139081,0,26,0.2,8,1.5,1.0
758f2613,-3.9640414626701386,-5.192906382700388,-0.18678413873910765,1.2135555107762281,0,26,0.08,8,1.0,1.0
716e3ad1,-2.1615569449168106,-1.275352982854355,-0.09033545283435016,0.7758633582047281,0,34,0.16,4,2.0,0.025
7a4faf04,-4.158459775157098,-3.910856255006474,-0.18541672067503007,1.923828423675658,0,30,0.16,8,1.0,1.0
96478193,-2.844836943590053,-1.6158201636612222,-0.09943685724332682,0.9506834545742178,0,34,0.08,8,2.0,0.025
998ac7cd,-0.8154045492974547,-2.0933006570749955,-0.08381503806393929,0.5688914458528249,0,26,0.2,6,2.0,1.0
8d21fab6,-3.7852611245543812,-2.175660959928174,-0.11462072030152358,0.8997671123917493,0,30,0.16,6,1.5,1.0
8589ff6c,-3.4562431304693746,-3.099348668647371,-0.15889196936813457,1.2643720895850028,0,26,0.08,4,1.5,0.025
017cb282,-3.73492301180886,-2.6914000832867684,-0.1306208679390957,1.0914428856055471,0,26,0.2,8,1.5,0.025
8e3cf418,-2.2768886249778006,-3.851336179221866,-0.17991828066660395,1.2977727848744374,0,38,0.16,8,1.0,0.025
6e54740c,-3.6285355193194846,-4.283245342944622,-0.20489937287943802,1.817686497507396,0,38,0.2,6,1.0,0.025
37966a51,-4.179990427815937,-5.0423018231195655,-0.22653989584969517,1.992235200680359,0,34,0.12,8,1.0,1.0
7232d49a,-4.157209135873927,-3.8047234589817935,-0.14867439673873295,1.0420682116781244,0,26,0.08,6,1.5,0.025
61c4c6b9,-4.067719763548666,-3.305001287796076,-0.14284681638604252,1.1050938566856243,0,26,0.08,6,1.5,0.025
46995d03,-0.6366818987662555,-1.6180158722857714,-0.07462292596440069,0.5336829695668833,0,38,0.12,8,2.0,1.0
04e58c8a,-2.3986291368546517,-3.1244817456461873,-0.11912084721645658,0.856096713496714,0,38,0.08,4,1.5,1.0
d8a650a4,-2.1162597845632263,-0.8506753218938998,-0.0674518613188333,0.6024506438906885,0,30,0.16,6,2.0,0.025
a0196460,-0.8023233776730194,-1.249052284649439,-0.08225200554694179,0.7963073011899215,0,30,0.16,8,2.0,0.025
8b677608,-1.132312110021303,-1.7962900203856225,-0.09154064181910633,0.6965999456888406,0,38,0.16,4,2.0,1.0
e004a417,-5.359376669281119,-2.9057420912956493,-0.15353793296420445,1.11613440661747,0,38,0.08,4,1.0,0.025
