run_id,final_pnl,fees,adverse_selection,spread_capture,forced_liquidations,k_vol,gamma,gamma_inv_scale,gamma_vol_scale,gamma_cap_factor,gamma_imb,size_base,size_min_factor,size_exp,max_inventory,order_ttl
bbbb6448,-1.6062989044476126,-1.701006722568176,-0.04422508784818261,0.23557829705723582,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.05,0.3
58862951,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.1,0.2
0422865d,-1.7252660180383828,-1.7815542201879027,-0.04778370396619778,0.22776249206985036,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.05,0.4
3c4ce9a3,-1.5317483819799236,-1.6367019313012408,-0.04952185766307547,0.22232731346685372,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.05,0.6
ebe8537b,-0.5541277743432147,-0.4666685145284763,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.2,0.2
f3728b76,-1.770647185459893,-1.776522258474532,-0.048089161718422396,0.1865022190411724,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.1,0.3
ba3504c7,-1.7640687650891778,-1.8311743571794676,-0.047854827886285145,0.2584509556912616,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.1,0.4
15711d6f,-1.5429902742544073,-1.6571960775228258,-0.0487091560993595,0.23851103854627437,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.1,0.6
11c1275a,-0.4951427765972767,-0.4185359779639743,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.05,0.2
3205b196,-1.69058375491295,-1.7755785125412973,-0.048407810173683015,0.26246042521841434,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.2,0.3
bb5365cb,-1.6982166270536254,-1.763064611704346,-0.04728437851296914,0.2348212596861813,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.2,0.4
ba4fd66a,-1.5280678339222504,-1.663171027108722,-0.050943214825447426,0.25349717908985175,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,1,0.2,0.6
73956d4d,-1.7593974800747674,-1.8201335252450752,-0.045587446947958674,0.23244482087486643,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.05,0.3
aa24a4e0,-0.5540898051585827,-0.466636284184133,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.1,0.2
3fa1b680,-1.735838846225306,-1.8168216550224934,-0.04746430290443339,0.2580825638783183,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.05,0.4
2818ca98,-1.563467064184806,-1.7075756351675697,-0.04717571494699403,0.28831521166086754,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.05,0.6
617bb5f3,-1.7765267925824446,-1.826501736917036,-0.04784281733328126,0.2366925795347101,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.1,0.3
6e7bf3b9,-0.5540898051585827,-0.466636284184133,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.2,0.2
ca45498d,-1.7229646604173467,-1.8023783998039558,-0.04819072013849289,0.26661350601892425,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.1,0.4
11e9d90b,-1.5712183599189302,-1.705265649438111,-0.046223642786449644,0.27447849949069475,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.1,0.6
6b79a491,-0.5540518444486224,-0.4666040609643563,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.05,0.2
05041f2c,-1.7883850465696014,-1.8048374782197314,-0.04606855012732725,0.18391381448967387,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.2,0.3
996282b1,-1.5836913375187578,-1.681578261325385,-0.05113290738465423,0.23618002954957149,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.2,0.6
9c599c74,-1.7734131879751658,-1.8362533852740253,-0.0463938886781295,0.24855218868348541,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,2,0.2,0.4
c0e99719,-0.5540518444486224,-0.4666040609643563,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.1,0.2
36e1bfcb,-1.5021998062875355,-1.6500840196297957,-0.04819957666084165,0.2783813727666524,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.05,0.6
5ab92827,-1.8076529865047632,-1.8205788176056736,-0.04884012336295302,0.19324677485051286,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.05,0.3
4c273743,-1.6974737268519675,-1.7668971585932522,-0.04870223051930448,0.2334560250536273,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.05,0.4
f080b874,-1.7862614491350541,-1.819596662196664,-0.04872636851202884,0.23812576540462652,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.1,0.3
98cf96ab,-0.49651321653436753,-0.4185107081035856,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.2,0.2
06d4e02d,-1.7234307089620415,-1.8037304384432409,-0.04807758756007437,0.25569044058242213,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.1,0.4
0cf80f4b,-1.4849664517478232,-1.6329853072394378,-0.04541535117237024,0.2691560787696989,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.1,0.6
7cc9c890,-1.7199782502520975,-1.7978002534600341,-0.04719223230239021,0.2565922300295871,0,1.3,0.1,4.0,2.0,5.0,0.5,0.005,0.3,3,0.2,0.3
789a0082,-1.1081796027938253,-0.9332725621543914,0.0,0.0,0,1.3,0.1,4.0,2.0,5.0,0.5,0.01,0.1,1,0.05,0.2
